vraag,SP,PVV,GL-PvdA,Partij voor de Dieren,FVD,BBB,DENK,D66,BVNL,VOLT,SGP,BIJ1,JA21,CU,VVD,NSC,CDA
Leenstelsel-student compenseren met misgelopen bedrag basisbeurs,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
Borg mag maximaal twee maanden huur zijn,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Stikstofdeadline van 2030 niet heilig verklaren,1,1,0,0,1,1,1,0,1,0,1,,1,0,0,1,0
Uitspreken dat abortus geen misdaad is,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,,0
Studieschuld niet meewegen bij aanvraag hypotheek,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0
Tijdelijk huurcontract afschaffen,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1
Gratis menstruatie-artikelen voor lage inkomens,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1
Asielzoekers opvangen buiten Europa (zoals Rwanda),0,1,0,0,1,1,0,0,1,0,1,,1,0,1,1,1
Rechter moet extra eisen stellen bij rechtszaken tegen de Staat,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1
Eigen bijdrage in de jeugdzorg niet instellen,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
Verbied boa's om een hoofddoek te dragen,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
Stoppen met werven van buitenlandse studenten,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
Verzetten tegen EU-wet voor natuurherstel,0,1,0,0,1,1,0,0,1,0,1,,1,1,1,1,1
Koning moet ook belasting betalen over inkomen,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Geen Nederlandse militairen naar Oekraïne,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0
Leeftijd cosmetische ingreep verhogen naar 21 jaar,0,0,1,1,1,1,1,0,0,0,1,,1,0,0,1,1
Belasting op winst en vermogen verhogen,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
Ook niet-Oekraïense vluchtelingen eerder laten werken,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0
Meer transparantie over kernwapens in Nederland,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
De wolf actief beschermen,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0
Diertransporten naar landen buiten de EU niet toestaan,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
Energiebedrijven nationaliseren,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
Oekraïne moet kandidaat-lid van de EU worden,0,0,1,0,0,0,1,1,0,1,0,,0,1,0,0,0
Fossiele subsidies per direct afschaffen,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Minderjarige asielzoekers niet vastzetten aan buitengrens EU,1,0,1,1,0,1,1,1,0,1,0,,0,1,0,,0
Handicap en seksualiteit toevoegen aan discriminatieverbod in grondwet,1,0,1,1,0,1,1,1,1,1,0,,1,1,1,,1