Motie,PVV,FVD,JA21,BBB,BVNL,VVD,D66,CDA,SP,GL-PvdA,Partij voor de Dieren,CU,SGP,DENK,VOLT,NSC,BIJ1
De overheid moet alle regels over stikstof afschaffen,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Iemand die zwanger is en een abortus wil moet meteen behandeld worden,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1
Vluchtelingen die in Nederland mogen blijven mogen geen voorrang krijgen voor een sociale huurwoning,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Eigenaren van vrachtwagens moeten per gereden kilometer belasting gaan betalen,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
De regering moet ervoor zorgen dat gemeentes sneller toestemming geven voor het bouwen van nieuwe woningen,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
De regering moet een minimum vaststellen voor de CO2-belasting die grote bedrijven moeten betalen,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0
Het moet verboden blijven voor politieagenten om een hoofddoek te dragen,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0
Nederland moet geen F-16-vliegtuigen aan Oekraïne leveren,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,1
De regering moet de nieuwe pensioenwet invoeren,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0
Het moet makkelijker worden om een lerarenopleiding te doen,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
De belasting op winst en vermogen moet omhoog,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
Coffeeshops mogen alleen nog softdrugs verkopen aan mensen die in dezelfde gemeente wonen,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0
De regering moet een nationaal coördinator tegen moslimdiscriminatie aanstellen,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Vliegveld Lelystad moet zo snel mogelijk open,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
De koning en een deel van zijn familie betalen geen belasting. Ook zij moeten belasting gaan betalen,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1
De regering moet eigenaren van huizen niet verplichten hun huis te verwarmen met een warmtepomp,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0
Nederland moet zich in de Europese Unie ervoor inspannen dat Surinamers zonder visum naar Europa kunnen reizen,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
Kinderen moeten de achternaam van beide ouders tegelijk kunnen krijgen,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1
Inwoners van Nederland moeten een nieuwe wet kunnen tegenhouden met een referendum,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1
De regering moet mensen die naar Islamitische Staat zijn gereisd niet terughalen naar Nederland,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,,0
Mensen die een huurcontract tekenen voor een zelfstandige woning moeten daar net zolang kunnen wonen als zij zelf willen,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Lokale politieke partijen moeten net als landelijke partijen geld krijgen van de overheid,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1
De regering moet geld steken in een permanente verhoging van het salaris van zorgverleners betere werkomstandigheden in de zorg en meer zorgpersoneel,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,,1
De hoogste straf voor doodslag moet omhoog van 15 naar 25 jaar gevangenisstraf,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0
Studenten hebben de afgelopen jaren geen geld van de regering gekregen voor hun studie (basisbeurs). De regering moet dat goedmaken door hen alsnog geld te geven,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
De regering mag gemeenten niet dwingen om asielzoekers op te vangen,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
De kostendelersnorm moet worden afgeschaft,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1
De overheid mag boeren niet dwingen hun land te verkopen,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
De overheid mag nooit de afkomst of nationaliteit van mensen gebruiken om risico’s in te schatten bijvoorbeeld op fraude,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,,1
Nederland moet weer gas uit de grond gaan halen in Groningen,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0